No,1,2,3
496nm,0,3.79247,0.654367
497nm,0,4.191549,0.585079
498nm,0,4.626789,0.525499
499nm,0,5.097209,0.47102
500nm,0,5.606434,0.423411
501nm,0,6.151153,0.388498
502nm,0,6.674351,0.357546
503nm,0,7.285085,0.325944
504nm,0,7.933404,0.293471
505nm,0,8.616341,0.259482
506nm,0,9.330338,0.229442
507nm,0,10.059866,0.199723
508nm,0,10.801155,0.177227
509nm,0,11.472534,0.161486
510nm,0,12.209755,0.147079
511nm,0,12.931737,0.131022
512nm,0,13.645148,0.116532
513nm,0,14.345997,0.104341
514nm,0,14.939828,0.096092
515nm,0,15.504163,0.085835
516nm,0,15.946169,0.074268
517nm,0,16.261021,0.065207
518nm,0,16.472185,0.056944
519nm,0,16.588476,0.053871
520nm,0,16.599697,0.050575
521nm,0,16.51515,0.044065
522nm,0,16.321539,0.037605
523nm,0,16.038692,0.030759
524nm,0,15.711826,0.024929
525nm,0,15.351048,0.020265
526nm,0,14.994021,0.014503
527nm,0,14.524852,0.009115
528nm,0,13.960434,0.00552
529nm,0,13.366291,0.00284
530nm,0,12.750227,0.000409
531nm,0,12.208088,0.000376
532nm,0,11.593569,0.000364
533nm,0,10.986648,0.000086
534nm,0,10.403851,0
535nm,0,9.833982,0
536nm,0,9.352539,0
537nm,0,8.824786,0
538nm,0,8.319311,0
539nm,0,7.838507,0
540nm,0,7.378102,0
541nm,0,6.989974,0
542nm,0,6.566877,0
543nm,0,6.163055,0
544nm,0,5.777852,0
545nm,0,5.410251,0
546nm,0.000081,5.101272,0
547nm,0.000358,4.765864,0
548nm,0.000386,4.44578,0
549nm,0.000687,4.139906,0
550nm,0.00086,3.849712,0
551nm,0.001722,3.606785,0
552nm,0.00296,3.346693,0
553nm,0.003812,3.100995,0
554nm,0.005255,2.87165,0
555nm,0.006405,2.65778,0
556nm,0.008854,2.483175,0
557nm,0.010893,2.295845,0
558nm,0.012632,2.119794,0
559nm,0.013577,1.97368,0
560nm,0.015396,1.819478,0
561nm,0.019998,1.677769,0
562nm,0.025508,1.547796,0
563nm,0.032155,1.427838,0
564nm,0.037071,1.328432,0
565nm,0.042776,1.222262,0
566nm,0.048698,1.123706,0
567nm,0.056878,1.03287,0
568nm,0.06677,0.951329,0
569nm,0.077316,0.885621,0
570nm,0.089995,0.81689,0
571nm,0.104895,0.752541,0
572nm,0.120944,0.698359,0
573nm,0.144122,0.642552,0
574nm,0.170695,0.590586,0
575nm,0.200821,0.544072,0
576nm,0.23351,0.500362,0
577nm,0.265164,0.465431,0
578nm,0.305216,0.428378,0
579nm,0.350647,0.395374,0
580nm,0.396434,0.370288,0
581nm,0.452452,0.342951,0
582nm,0.51589,0.317987,0
583nm,0.58875,0.293339,0
584nm,0.670651,0.271417,0
585nm,0.75289,0.254453,0
586nm,0.85501,0.238775,0
587nm,0.968592,0.224423,0
588nm,1.085549,0.211566,0
589nm,1.234093,0.196934,0
590nm,1.402157,0.182298,0
591nm,1.592604,0.169603,0
592nm,1.802196,0.15802,0
593nm,2.008524,0.148474,0
594nm,2.264849,0.139399,0
595nm,2.544178,0.131559,0
596nm,2.814984,0.125667,0
597nm,3.139318,0.118403,0
598nm,3.488341,0.112381,0
599nm,3.86677,0.105564,0
600nm,4.272073,0.099515,0
601nm,4.655745,0.093966,0
602nm,5.105799,0.088198,0
603nm,5.57768,0.083099,0.000083
604nm,6.024986,0.078969,0.000167
605nm,6.548009,0.073773,0.000168
606nm,7.092873,0.06999,0.000275
607nm,7.59801,0.066277,0.000509
608nm,8.181417,0.062741,0.000703
609nm,8.783857,0.059717,0.00108
610nm,9.399123,0.056535,0.000742
611nm,10.019596,0.055107,0.000616
612nm,10.578482,0.055425,0.000333
613nm,11.204386,0.053991,0.000179
614nm,11.8332,0.052709,0.000045
615nm,12.398814,0.050053,0
616nm,13.018968,0.047808,0
617nm,13.624352,0.045367,0
618nm,14.157712,0.043696,0
619nm,14.726823,0.041753,0
620nm,15.274685,0.040728,0
621nm,15.751828,0.039422,0
622nm,16.242008,0.037691,0
623nm,16.703754,0.035972,0
624nm,17.123968,0.034582,0
625nm,17.526165,0.034115,0
626nm,17.859701,0.032868,0
627nm,18.190113,0.031157,0
628nm,18.478065,0.029261,0
629nm,18.709822,0.028176,0
630nm,18.922428,0.027881,0
631nm,19.095013,0.028089,0
632nm,19.229832,0.028119,0
633nm,19.336742,0.026247,0
634nm,19.417429,0.02367,0
635nm,19.466745,0.021011,0
636nm,19.47834,0.019071,0
637nm,19.460127,0.018302,0
638nm,19.423328,0.017302,0
639nm,19.33943,0.015598,0
640nm,19.227118,0.013692,0
641nm,19.12011,0.012434,0
642nm,18.963594,0.009576,0
643nm,18.793093,0.007109,0
644nm,18.631411,0.004627,0
645nm,18.427952,0.003301,0
646nm,18.20789,0.002161,0
647nm,17.967262,0.001092,0
648nm,17.708933,0.000029,0
649nm,17.474712,0,0
650nm,17.191366,0,0
651nm,16.903713,0,0
652nm,16.64275,0,0
653nm,16.333969,0,0
654nm,16.017019,0,0
655nm,15.741145,0,0
656nm,15.421741,0,0
657nm,15.099437,0,0
658nm,14.809616,0,0
659nm,14.483897,0,0
660nm,14.151687,0,0
661nm,13.866632,0,0
662nm,13.530676,0,0
663nm,13.196465,0,0
664nm,12.914779,0,0
665nm,12.594689,0,0
666nm,12.279291,0,0
667nm,12.001799,0,0
668nm,11.676871,0,0
669nm,11.358265,0,0
670nm,11.080238,0,0
671nm,10.770654,0,0
672nm,10.468124,0,0
673nm,10.20484,0,0
674nm,9.907719,0,0
675nm,9.616262,0,0
676nm,9.359935,0,0
677nm,9.075075,0,0
678nm,8.789303,0,0
679nm,8.544579,0,0
680nm,8.28337,0,0
681nm,8.024193,0,0
682nm,7.799109,0,0
683nm,7.545268,0,0
684nm,7.293963,0,0
685nm,7.082482,0,0
686nm,6.839984,0,0
687nm,6.60251,0,0
688nm,6.398531,0,0
689nm,6.177416,0,0
690nm,5.967044,0,0
691nm,5.785442,0,0
692nm,5.607951,0,0
693nm,5.409518,0,0
694nm,5.210564,0,0
695nm,5.041581,0,0
696nm,4.852495,0,0
697nm,4.671268,0,0
698nm,4.518441,0,0
699nm,4.349971,0,0
700nm,4.182778,0,0
701nm,4.036082,0,0
702nm,3.873888,0,0
703nm,3.72582,0,0
704nm,3.598021,0,0
705nm,3.459066,0,0
706nm,3.322138,0,0
707nm,3.20106,0,0
708nm,3.072621,0,0
709nm,2.951765,0,0
710nm,2.847066,0,0
711nm,2.736163,0,0
712nm,2.622285,0,0
713nm,2.52351,0,0
714nm,2.432377,0,0
715nm,2.332812,0,0
716nm,2.243722,0,0
717nm,2.167228,0,0
718nm,2.083735,0,0
719nm,2.002769,0,0
720nm,1.934287,0,0
721nm,1.859327,0,0
722nm,1.782509,0,0
723nm,1.719913,0,0
724nm,1.649673,0,0
725nm,1.59035,0,0
726nm,1.533493,0,0
727nm,1.46954,0,0
728nm,1.410006,0,0
729nm,1.361623,0,0
730nm,1.317575,0,0
731nm,1.272214,0,0
732nm,1.225455,0,0
733nm,1.188437,0,0
734nm,1.138634,0,0
735nm,1.089891,0,0
736nm,1.05301,0,0
737nm,1.012058,0,0
738nm,0.9756,0,0
739nm,0.94127,0,0
740nm,0.895521,0,0
741nm,0.858517,0,0
742nm,0.821264,0,0
743nm,0.78726,0,0
744nm,0.763798,0,0
745nm,0.738864,0,0
746nm,0.72146,0,0
747nm,0.692049,0,0
748nm,0.663376,0,0
749nm,0.637257,0,0
750nm,0.609956,0,0
751nm,0.589359,0,0
752nm,0.564703,0,0
753nm,0.542681,0,0
754nm,0.526657,0,0
755nm,0.502603,0,0
756nm,0.488139,0,0
757nm,0.464856,0,0
758nm,0.436056,0,0
759nm,0.411364,0,0
760nm,0.385224,0,0
761nm,0.363424,0,0
762nm,0.350979,0,0
763nm,0.333132,0,0
764nm,0.309568,0,0
765nm,0.295705,0,0
766nm,0.283244,0,0
767nm,0.281798,0,0
768nm,0.279647,0,0
769nm,0.270839,0,0
770nm,0.255248,0,0
771nm,0.22777,0,0
772nm,0.209898,0,0
773nm,0.199345,0,0
774nm,0.190008,0,0
775nm,0.182512,0,0
776nm,0.170954,0,0
777nm,0.154026,0,0
778nm,0.146216,0,0
779nm,0.134166,0,0
780nm,0.117622,0,0
Flick[400Dot-100ms],,,
1,32898,9256,9829
2,32902,9358,9927
3,32938,9400,9959
4,32989,9408,9950
5,32999,9392,9963
6,32998,9406,9993
7,33076,9443,10003
8,33188,9482,10086
9,33179,9506,10078
10,33231,9489,10062
11,33230,9471,9971
12,33240,9425,9976
13,33248,9404,9959
14,33242,9383,9969
15,33324,9429,10054
16,33275,9479,10104
17,33281,9502,10040
18,33292,9477,9931
19,33427,9455,9920
20,33521,9396,9953
21,33540,9368,9879
22,33548,9315,9808
23,33467,9314,9765
24,33556,9226,9685
25,33608,9225,9699
26,33632,9132,9678
27,33646,9110,9669
28,33645,9114,9673
29,33591,9087,9649
30,33564,9155,9631
31,33567,9089,9621
32,33553,9051,9570
33,33604,8904,9462
34,33658,8892,9384
35,33658,8807,9323
36,33614,8723,9299
37,33576,8729,9317
38,33568,8686,9317
39,33522,8717,9285
40,33473,8708,9243
41,33420,8660,9226
42,33368,8649,9271
43,33321,8673,9253
44,33293,8687,9294
45,33278,8733,9305
46,33255,8752,9359
47,33259,8769,9345
48,33229,8767,9303
49,33213,8739,9278
50,33189,8721,9298
51,33107,8712,9340
